mfcc_1_mean,mfcc_1_std,delta_mfcc_1_mean,delta_mfcc_1_std,delta2_mfcc_1_mean,delta2_mfcc_1_std,mfcc_2_mean,mfcc_2_std,delta_mfcc_2_mean,delta_mfcc_2_std,delta2_mfcc_2_mean,delta2_mfcc_2_std,mfcc_3_mean,mfcc_3_std,delta_mfcc_3_mean,delta_mfcc_3_std,delta2_mfcc_3_mean,delta2_mfcc_3_std,mfcc_4_mean,mfcc_4_std,delta_mfcc_4_mean,delta_mfcc_4_std,delta2_mfcc_4_mean,delta2_mfcc_4_std,mfcc_5_mean,mfcc_5_std,delta_mfcc_5_mean,delta_mfcc_5_std,delta2_mfcc_5_mean,delta2_mfcc_5_std,mfcc_6_mean,mfcc_6_std,delta_mfcc_6_mean,delta_mfcc_6_std,delta2_mfcc_6_mean,delta2_mfcc_6_std,mfcc_7_mean,mfcc_7_std,delta_mfcc_7_mean,delta_mfcc_7_std,delta2_mfcc_7_mean,delta2_mfcc_7_std,mfcc_8_mean,mfcc_8_std,delta_mfcc_8_mean,delta_mfcc_8_std,delta2_mfcc_8_mean,delta2_mfcc_8_std,mfcc_9_mean,mfcc_9_std,delta_mfcc_9_mean,delta_mfcc_9_std,delta2_mfcc_9_mean,delta2_mfcc_9_std,mfcc_10_mean,mfcc_10_std,delta_mfcc_10_mean,delta_mfcc_10_std,delta2_mfcc_10_mean,delta2_mfcc_10_std,mfcc_11_mean,mfcc_11_std,delta_mfcc_11_mean,delta_mfcc_11_std,delta2_mfcc_11_mean,delta2_mfcc_11_std,mfcc_12_mean,mfcc_12_std,delta_mfcc_12_mean,delta_mfcc_12_std,delta2_mfcc_12_mean,delta2_mfcc_12_std,mfcc_13_mean,mfcc_13_std,delta_mfcc_13_mean,delta_mfcc_13_std,delta2_mfcc_13_mean,delta2_mfcc_13_std,spectral_centroid_mean,spectral_centroid_std,zcr_mean,zcr_std,chroma_1_mean,chroma_1_std,chroma_2_mean,chroma_2_std,chroma_3_mean,chroma_3_std,chroma_4_mean,chroma_4_std,chroma_5_mean,chroma_5_std,chroma_6_mean,chroma_6_std,chroma_7_mean,chroma_7_std,chroma_8_mean,chroma_8_std,chroma_9_mean,chroma_9_std,chroma_10_mean,chroma_10_std,chroma_11_mean,chroma_11_std,chroma_12_mean,chroma_12_std,label,source,filename
-434.06653,82.72059,-0.25407577,7.0359125,0.013977082,3.3957071,102.01018,23.814217,-0.08835789,2.5821505,0.028068613,1.4149973,-68.70445,41.169113,0.087774165,3.351104,0.009631313,1.7474428,6.8301983,15.517502,-0.022096103,1.9564481,-0.013487147,1.0563098,-16.163305,19.089575,0.046111774,2.0336742,-0.00350462,1.1321204,-12.580159,13.843778,0.025193155,1.4148318,-0.0002610322,0.8981378,15.180232,17.368937,-0.04226462,1.7380825,0.00909133,1.0092701,-28.872068,18.314867,0.015078908,1.7017072,0.00403828,1.0096338,-10.505101,9.288897,-0.029494205,1.1639436,-0.0068823053,0.7317045,-2.1509998,12.648505,-0.0280983,1.4205083,0.019523954,0.872635,-20.05717,12.184139,0.029259335,1.4421008,0.015398626,0.8201726,-1.0894017,13.620037,-0.016326942,1.611197,-0.0018786397,1.0284146,-5.753717,12.7291765,-0.023115005,1.7602994,0.008504669,1.0759948,1430.3993508679137,216.79250193304898,0.14634762633996937,0.041714804861049594,0.44729087,0.34881204,0.43195024,0.34557334,0.4472273,0.3498469,0.48805448,0.3389563,0.44907734,0.2864352,0.3919582,0.2914038,0.38270533,0.29146275,0.39619556,0.30544776,0.4794444,0.34550872,0.49446934,0.35533473,0.40862536,0.31867808,0.41626847,0.31312075,belly_pain,cleaned,357c.wav
-449.5006,59.67817,-0.23806722,6.0521793,0.04122348,2.6001327,123.17969,14.225516,-0.023703296,1.9693321,0.02157152,1.1697906,-19.244701,34.259953,0.12668909,3.33213,0.0004362605,1.5421456,20.769783,11.386068,-0.008398346,1.603759,-0.018338857,1.0991759,-5.9651346,20.190039,0.05606337,2.244117,-0.0032818387,1.1722864,-13.044222,11.234174,0.048987415,1.5314435,0.009824227,1.0265411,11.668424,14.67943,0.021296097,1.575895,-0.0023266822,0.9777005,-10.860828,8.445911,0.02603511,1.0251688,0.011340457,0.8042322,-6.3796377,9.245898,-0.003254858,1.2902921,-0.00090905227,0.8490004,-12.262178,8.5117,0.030938393,1.2097021,-0.00703554,0.8652391,-24.387764,8.723384,0.008571143,1.3099422,0.003167908,0.8632523,-8.818783,8.150494,-0.008577731,1.3177961,-0.0011624624,0.876675,-14.85861,10.86369,0.013684599,1.6294007,0.0050629755,1.043757,965.9223666942328,257.94550108139373,0.07397307692307693,0.03597800137362047,0.55526835,0.30398262,0.4666009,0.2744366,0.42940974,0.2709361,0.44427162,0.27062032,0.4800616,0.31658727,0.49195102,0.29085693,0.5641072,0.30958638,0.6095485,0.2686512,0.66227305,0.25007167,0.6366428,0.23263817,0.63157415,0.30014563,0.6422519,0.3534565,belly_pain,cleaned,358c.wav
-404.07883,73.846596,0.038587704,5.4960265,0.08869233,2.3467395,104.824455,17.5458,-0.017440839,1.9842964,-0.02120884,1.0482022,-100.17812,47.21257,-0.019124564,3.5270548,-0.0003885587,1.3991671,37.94161,21.411858,0.031302083,1.9073203,-0.031028092,1.0926796,-7.593541,16.920998,0.05841239,1.6000545,-0.0065653003,1.0185877,-15.898984,10.27576,0.0020905628,1.2333578,0.017955469,0.7922047,21.380945,13.385144,-0.013182886,1.4823141,-0.01333647,0.8302644,-28.235474,15.663889,0.0012222445,1.3121288,0.011193837,0.7777054,5.357039,14.627435,0.012437053,1.3937607,0.0030180023,0.7988964,-4.8764873,11.5311365,0.05081668,1.2963381,0.0062869773,0.73260695,-33.185818,11.970596,0.025997793,1.4167913,0.020294832,0.7842583,2.616725,12.444801,-0.016037857,1.348081,0.00079447194,0.7671072,-13.751931,10.857798,-0.02522877,1.4615414,0.007842317,0.77863574,1687.235458611017,412.9389819103085,0.18313480741797433,0.07192773071684945,0.17666893,0.24625055,0.17625248,0.2329914,0.19906266,0.2766577,0.2151868,0.29420453,0.21346611,0.25843984,0.28477606,0.32368666,0.37018067,0.34636247,0.44514593,0.36280924,0.5186294,0.36358342,0.47004017,0.38343152,0.28674498,0.31834662,0.18098,0.25246045,belly_pain,cleaned,359c.wav
-437.14777,95.590546,0.015023442,12.947741,0.26497206,6.040619,119.29569,30.507284,0.033203937,4.8904815,0.07940075,2.4789329,-57.924404,49.259468,0.08691848,5.7801895,-0.0817951,2.7400682,13.329004,15.607153,0.0015118499,2.2311919,-0.0009006277,1.434096,-23.079195,21.884811,-0.025883647,3.1951702,-0.009936172,1.6684271,-28.027906,17.503195,-0.028973235,2.7978487,0.005833102,1.5424107,15.673569,13.005912,-0.01390075,1.6632758,0.016191136,0.9710329,-13.488401,16.85668,0.041128922,1.829868,-0.010709984,1.048241,-4.083177,10.07384,0.009323711,1.3964953,0.0052404706,0.9072999,-1.952915,9.517698,-0.00855139,1.4385569,-0.0007719045,0.9441065,-15.778109,12.675925,0.003127894,1.6680225,-0.009239382,0.9130441,-3.0445924,11.705553,-0.018498773,1.5669166,0.0010851156,1.0432916,-14.927681,11.559775,-0.005495074,1.7509588,-0.005225313,1.1627188,1197.3625671103982,322.375791999922,0.11246433666191157,0.04888046365062204,0.33076802,0.32411823,0.36600268,0.3493441,0.3322992,0.33949414,0.3298503,0.33956364,0.3948346,0.3420783,0.5056934,0.3438519,0.5315357,0.3406939,0.40963587,0.35287815,0.2795265,0.31958103,0.23833379,0.29260558,0.25003225,0.29287276,0.2859532,0.31411618,belly_pain,cleaned,360c.wav
-413.73203,58.00551,0.24814849,5.0291824,-0.13081168,2.182272,97.986984,34.867554,0.026886944,2.5708995,-0.0645163,1.3043741,-65.23214,23.007137,-0.077987865,3.0251987,0.06152281,1.6346442,32.210632,16.939064,0.082647495,1.922627,-0.01501873,1.1378282,-3.9513502,16.166004,-0.027790984,1.938523,0.018221479,1.189123,-31.01606,13.255524,-0.022326028,1.4794682,0.03250647,0.98395324,3.0516415,11.078496,0.055605993,1.2932143,-0.012189498,0.856281,-19.14846,11.616918,-0.0075329705,1.4367728,0.012634818,0.90957785,-4.3894186,8.899472,0.004249252,1.2229125,0.0011207713,0.88731265,-2.1379528,9.250603,0.014408759,1.1583247,0.0010401157,0.8493187,-14.417878,9.60228,0.004746045,1.1754125,0.023042155,0.88238025,-0.23059127,9.560843,0.012349155,1.2458465,-0.0006466848,0.81654644,-10.758697,10.693271,-0.009395173,1.2583052,-0.006791906,0.835482,1540.4661359246325,391.63786758969303,0.18248097412480974,0.07649778910839643,0.45661098,0.30367905,0.41038412,0.3033127,0.39285478,0.2849672,0.41538697,0.29149392,0.47638154,0.3234883,0.52707267,0.2906177,0.5166318,0.2950433,0.44812977,0.29020107,0.40735638,0.28243512,0.44049662,0.30554986,0.4788929,0.32618132,0.48655224,0.31526917,belly_pain,cleaned,361c.wav
-493.23895,108.363174,0.2126531,8.838839,-0.021570116,3.9794338,112.07816,31.141178,0.026718672,3.6431289,-0.021733936,1.7883435,-81.04225,59.925804,-0.06514042,4.3357973,0.028143713,2.1293147,28.79368,26.43561,0.102043964,2.893324,0.0019224497,1.5057685,-14.169255,15.460843,-0.023679342,1.8590599,0.024721103,1.1027969,-26.467484,15.922583,-0.012748637,1.9161675,0.02433131,1.1200273,14.44552,19.593412,0.00497262,1.9369246,-0.027375886,1.0402651,-24.123432,14.000846,-0.047593378,1.7018116,-0.0045439564,1.0505626,-9.50858,19.64765,0.063483104,1.879475,-0.015011352,0.99689233,-9.158861,14.863415,0.06172957,1.8163785,0.001548576,1.0299575,-14.622764,13.561165,0.0032932125,2.080242,0.012993452,1.1130314,9.607533,19.801636,0.05151037,2.5184836,-0.008902607,1.2484525,-7.2954984,17.67961,0.0070317434,2.2256153,-5.232148e-05,1.1471757,1471.2888793239833,466.9264075734133,0.1569650986342944,0.08802647981782377,0.40950432,0.3242255,0.4090441,0.3198327,0.37213895,0.3156972,0.3562076,0.3177813,0.33845687,0.3053839,0.34655407,0.31570488,0.32360855,0.31171843,0.3193684,0.31689662,0.35439894,0.33142525,0.3982015,0.33067846,0.453904,0.33693323,0.41828188,0.3321021,belly_pain,cleaned,362c.wav
-444.251,113.67108,0.4730692,12.084196,0.08121848,4.985834,98.34494,37.27585,0.13181657,4.2512355,-0.01575416,1.9891537,-78.30279,46.03643,-0.11222539,5.1219025,0.06125041,2.186518,14.051304,22.534939,0.033864066,2.709086,-0.05028687,1.3708643,-25.43941,14.414589,-0.05580562,1.761666,0.0014434924,1.1137896,-26.779222,21.844288,0.010121922,2.0463135,0.034539044,1.0628699,18.26718,17.573738,0.07800934,2.1247277,-0.023519503,1.0492133,-16.318491,17.325642,-0.012124351,1.5058489,0.00132868,0.9092628,-3.337973,14.3718,0.055633374,1.4397151,-0.013420536,0.8000925,-4.4164104,10.800038,0.04529383,1.4637383,0.023694403,0.9125005,-14.080637,12.563482,-0.044463094,1.4620355,0.05209919,0.98374254,5.205673,13.399387,-0.0348999,1.7468094,0.01311548,1.0897421,-7.2663097,14.346866,-0.064136595,2.0424242,0.028104011,1.1960514,1551.1474574062274,303.46447822037186,0.16388020833333336,0.0633595783665732,0.3229601,0.32317233,0.29967037,0.32358313,0.2504255,0.28574702,0.333336,0.31027713,0.43398544,0.38671193,0.29831758,0.3110492,0.2248032,0.26992866,0.25293273,0.27733964,0.35330772,0.29703006,0.43558475,0.31992513,0.39461997,0.34438542,0.3286065,0.32652208,belly_pain,cleaned,363c.wav
-461.63797,111.96856,-0.10009544,9.503222,-0.008998479,4.1737814,86.81279,34.54955,-0.030925442,3.396613,-0.011146177,1.7557306,-109.63806,55.648144,0.0010979674,4.984112,0.037394993,2.4595509,14.901388,18.680195,0.03193243,2.1969812,-0.024577036,1.2636515,-5.677971,13.827947,0.017509948,1.4410524,-0.0022890163,0.9029044,-34.576927,17.125404,0.002924978,1.8441532,0.005145489,0.97627634,13.82102,18.753885,0.00052174734,1.9906881,-0.017290546,1.1075642,0.026750287,12.122006,-0.027257886,1.4030086,0.008481576,0.82911634,6.750746,13.34914,0.011068607,1.367014,0.010697895,0.8445825,1.2127972,9.852553,0.058595665,1.4171206,0.021200558,0.8951692,-10.955,13.485433,0.027448123,1.5824556,0.01815189,0.89807326,4.106968,13.05091,5.878936e-05,1.7065992,-0.010596693,1.0029757,-13.093506,11.629632,-0.028920904,1.6765156,-0.015301366,1.0022634,1676.8207698972237,229.3772501281546,0.19588721804511275,0.049432707222936384,0.43619522,0.32055816,0.5189829,0.36858338,0.40855345,0.3117062,0.30297408,0.28437716,0.28897625,0.2723865,0.2936821,0.25942048,0.34620127,0.31070536,0.37356994,0.32740718,0.3725679,0.31474802,0.3987524,0.3155747,0.42473847,0.31190515,0.40628535,0.30478457,belly_pain,cleaned,364c.wav
-474.97675,110.18936,-0.11280197,10.819845,-0.052039128,4.560599,103.76192,32.3748,-0.100923605,4.131792,0.011967744,2.0470507,-97.00011,58.729847,-0.02643684,5.768325,0.07419832,2.6140275,3.3255596,25.328085,-0.0019052277,2.8631167,0.03303567,1.3395505,-8.505798,12.656087,0.040973146,1.7882168,0.021129152,1.0310307,-30.995348,15.803727,0.0712209,1.890469,0.009191123,0.9771966,9.647945,15.455461,0.048325364,1.632939,0.020252971,0.91386956,-2.9189973,12.526754,0.041230194,1.4690164,0.04651055,0.9798318,3.3428051,12.710588,0.03901374,1.4094154,0.016029693,0.90615565,-0.81152713,10.3814945,-0.013876978,1.4561746,-0.0018392141,0.8790742,-10.170622,12.640016,-0.042884573,1.524589,-0.008421325,0.9309649,3.427715,14.614039,-0.020143649,1.9065733,-0.03464037,1.1061729,-11.845018,15.175161,-0.0428625,2.2898202,-0.025624385,1.2260188,1437.8068515014952,279.0514586767336,0.14819470699432893,0.05216962745405478,0.41541255,0.32826167,0.33560568,0.29480287,0.32170352,0.29081488,0.2968111,0.2720939,0.28603694,0.2692115,0.2959339,0.28597397,0.3083466,0.29713786,0.36167935,0.336676,0.4133002,0.36158222,0.42432147,0.33477336,0.43124563,0.36027768,0.42876822,0.3296021,belly_pain,cleaned,365c.wav
-404.5334,47.981834,0.06411486,4.8528686,0.0041586375,2.325595,139.82332,17.175396,0.015258841,2.132694,-0.005567685,1.1006063,-53.647007,32.244686,-0.05247565,3.2663128,0.013287341,1.5697956,-11.529755,16.34745,0.007815022,2.1391695,0.035960738,1.187219,-32.12994,14.878126,0.046370756,1.5845089,0.0048241555,0.95704836,-48.243538,14.956606,0.009828472,1.7382814,-0.0027405184,1.0251069,-3.8293931,18.818483,-0.0138470745,1.8636323,0.012793242,1.0602934,-7.198009,15.722542,-0.015047934,1.7235882,0.008005558,0.96726555,-10.62137,12.839746,-0.00062043365,1.5676912,0.006854117,0.9173795,-14.482307,11.559045,-0.0026725635,1.5678486,0.004337443,0.93183637,-16.71741,16.416195,-0.030283699,1.7324964,0.009068967,0.93251765,1.1282922,18.56533,-0.0040797023,1.7358305,0.024384132,0.972659,-1.8917258,13.8007,0.031319804,1.6784219,0.02015667,0.96931,985.3683800859741,218.29730112166473,0.10181059506531205,0.039838617345631426,0.3229023,0.33584374,0.34741026,0.34811655,0.3259909,0.3571299,0.25041962,0.3045369,0.21536438,0.25098568,0.25358602,0.35675818,0.21849765,0.32355666,0.1896147,0.26217496,0.22816543,0.29438052,0.2747916,0.31072778,0.3179317,0.3421864,0.30967787,0.30980125,belly_pain,cleaned,366c.wav
